repo_name,checklist_percentage,reference_percentage,image_percentage,code_percentage,mean_response_time,label_percentage,median_response_time
freeCodeCamp/freeCodeCamp,9.025270758122744,69.55475330926595,21.48014440433213,20.81829121540313,5606270.592057762,41.51624548736462,1882545.0
EbookFoundation/free-programming-books,2.5,67.5,2.5,2.5,9923406.45,65.0,5254873.5
sindresorhus/awesome,0.0,72.72727272727273,3.0303030303030303,12.121212121212121,11481899.272727273,24.242424242424242,4151573.0
donnemartin/system-design-primer,2.857142857142857,45.714285714285715,0.0,0.0,13048795.057142857,34.285714285714285,11575621.0
facebook/react,0.0,54.166666666666664,8.333333333333332,0.0,15127011.375,4.166666666666666,6969886.5
awesome-selfhosted/awesome-selfhosted,2.564102564102564,87.17948717948718,2.564102564102564,2.564102564102564,38307687.56410257,0.0,25992421.0
ohmyzsh/ohmyzsh,7.537688442211055,30.15075376884422,4.522613065326634,1.0050251256281406,44799298.24623115,1.507537688442211,39470479.0
twbs/bootstrap,0.0,52.63157894736842,10.526315789473683,5.263157894736842,36978629.10526316,100.0,25155919.0
Significant-Gravitas/AutoGPT,1.8714401952807163,68.51098454027664,8.70626525630594,37.91700569568755,17414690.09357201,69.73148901545973,7777974.0
flutter/flutter,0.9463722397476341,66.45636172450052,5.678233438485805,38.90641430073607,3005824.971608833,38.48580441640379,182206.0
